Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15
Avenida Domingos Ferreira,Local,Logradouro,Boa Viagem,,"Avenida que se extende por 5 km e cirulam 52 mil casos por dia. Leva o nome do engenheiro Domingos Ferreira foi o responsável pelo projeto do Parque 13 de Maio, da Avenida Guararapes e também da urbanização da atual área de Boa Viagem, entre as décadas de 1940 e 1960",Castelinho,Domingos Ferreira,Augusto Lucena,,,,,,,,,,,,
Avenida Guararapes,Local,Logradouro,Santo Antonio,http://eucurtorecife.com.br/wp-content/uploads/2014/04/Av-guararapes.jpg,"Foi projetada no final da década de 1920 pelos engenheiros José Estelita e Domingos Ferreira e o arquiteto Nestor de Figueiredo, com a finalidade de resolver o trânsito e organizar o comércio do centro do Recife. Sua construção foi realizada na gestão do prefeito Novaes Filho em 1937, ano em que Getúlio Vargas deu um golpe de estado e instalou o Estado Novo. Sua ocupação, com os modernos edifícios na época, somente foi possível após Novaes Filho conseguir junto a diversos Institutos de Previdência, Correios, dentre outros órgãos, a construção dos mesmo. Teve, como primeiras edificações, o edifício do Cinema Trianon e o dos Correios. O transporte coletivo utilizou a nova avenida para ser ponto terminal das linhas que vinham dos subúrbios para o centro comercial, então restrito ao bairro de Santo Antonio.",Rua da Praia,Rua do Sol,Novaes Filho,Carlos Pena Filho,Edificio dos Correios,Savoy,,,,,,,,,
Avenida Marechal Mascarenhas de Morais,Local,Logradouro,Imbiribeira,,"A avenida Marechal Mascarenhas de Morais é uma importante via arterial do município do Recife, Pernambuco, Brasil. A avenida liga o bairro de Afogados ao município de Jaboatão dos Guararapes (bairros de Prazeres e Jardim Jordão), atravessando todo o bairro da Imbiribeira[1]. Até 1971 o logradouro era conhecido como Estrada da Imbiribeira[2], sendo seu nome atual uma homenagem ao militar João Batista Mascarenhas de Morais, comandante das tropas brasileiras durante a campanha da Itália na Segunda Guerra Mundial.",Mascarenhas de Morais,Lagoa do Araça,,,,,,,,,,,,,
Avenida Mario Melo,Local,Logradouro,Boa Vista,,"Liga a Rua da Aurora a Cruz Cabuga por uma extensão de 1km, ladeando o Parque 13 de Maio e leva o nome do advogadoadvogado, jornalista, historiador, geógrafo, filatelista, numismata, músico e político Recifense, Mario Melo",Mario Melo,Parque 13 de Maio,,,,,,,,,,,,,
Avenida Marques de Olinda,Local,Logradouro,Recife Antigo,https://upload.wikimedia.org/wikipedia/commons/0/0c/Avenida_Marqu%C3%AAs_de_Olinda_nos_anos_1930_-_Recife%2C_Pernambuco%2C_Brasil.jpg,"Liga o Marco Zero a Ponte Mauricio de Nassau e é economicamente, a via mais importante do Bairro de Recife, levando o nome do regente e primeiro-ministro do Império do Brasil, Pedro de Araújo Lima, o Marquês de Olinda, ",Marco Zero,Avenida da Madre de Deus,Avenida Rio Branco,Marques de Olinda,Guerra dos Mascates,,,,,,,,,,
Avenida Rio Branco,Local,Logradouro,Recife Antigo,,"Fechada para carros, liga o Marco Zero a Ponte Buarque de Macedo. ",Avenida da Madre de Deus,Barão do Rio Branco,Avenida Marques de Olinda,Marco Zero,Rua do Bom Jesus,,,,,,,,,,
Avenida Rui Barbosa,Local,Logradouro,Graças,,Liga Parnamirim a Avenida Agamenon Magalhães e possui lindos casarões. Leva o nome do diplomata Rui Barbosa,Jardim do Baobá,Academia Pernambucana de Letras,Ponte D'Uchôa,Jardim do Baobá,Colégio Damas,Colégio Vera Cruz,Colégio São Luís,Colégio Agnes,Avenida Rui Barbosa,,,,,,
Avenida Visconde de Suassuna,Local,Logradouro,Boa Vista,,"Liga a Avenida Cruz Cabugá a Avenida Agamenon Magalhães e leve o nome de Francisco de Paula Cavalcanti de Albuquerque, militar e politico brasileiro.",Cemitério de Santo Amaro,Visconde de Suassuna,,,,,,,,,,,,,
Azeredo Coutinho (Bispo),Personagem,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/José_Joaquim_da_Cunha_Azeredo_Coutinho.jpg,"Formado em Direito Canônico em 1775, foi nomeado bispo de Olinda em 1794, bispo-auxiliar de Bragança e Miranda em 1802 e de Elvas em 1806. Não aceitou o cargo de Bispo de Beja, para o qual fora eleito em 1818, assumindo no mesmo ano as funções de inquisidor-geral do reino, por nomeação de Dom João VI. Permaneceu no cargo até a extinção do Tribunal do Santo Ofício após a Revolução liberal de 1820, ano de sua morte.",Dom Cardoso Ayres,Abreu e Lima,Questão Religiosa,Seminário de Olinda,,,,,,,,,,,
Bacia do Pina,Ponto,Rio,Pina,https://andradetalis.files.wordpress.com/2012/10/bacia-do-pina.jpg,"A bacia do Pina é parte de um sistema estuarino formado pelos rios Capibaribe, Tejipió, Jordão e Pina, localizado no município de Recife, em Pernambuco. Este estuário é de relevada importância sócio-econômica e ambiental, pois além de ser uma área de pesca e aqüicultura para a população carente circunvizinha, serve para a diluição de efluentes da cidade e abriga o complexo portuário do Recife",Rio Capibaribe,Rio Beberibe,Cais José Estelita,Ponte Paulo Guerra,Cais José Estelita,Cabanga Iate Clube,Casa de Banhos,Rio Beberibe,Bacia do Pina,,,,,,
Banhistas do Pina,Local,Clube de Carnaval,PIna,http://jconlineimagem.ne10.uol.com.br/imagem/noticia/2017/02/02/normal/a57768c457ffb5506e85e45151aa0cd4.jpg,"Bloco de pau e corda tradicional, Banhistas do Pina tem certidão de nascimento registrada no dia 3 de fevereiro de 1932. A agremiação foi criada por moradores da comunidade do Bode que, alguns anos antes, haviam formado um grupo de pastoril no bairro,",Brasilia Teimosa,,,,,,,,,,,,,,
Banco do Nordeste,Local,Instituição,Boa Vista,https://blog.euvoupassar.com.br/wp-content/uploads/2014/03/Banco-do-Nordeste.jpg,"O Banco do Nordeste do Brasil S.A. (BNB) é uma instituição financeira constituída na forma de sociedade de economia mista, de capital aberto, controlada pelo Governo Federal Brasileiro, tendo a União como sua acionista majoritária.[2] Sua sede é localizada na cidade de Fortaleza, estado do Ceará. É um banco múltiplo com características de um banco de desenvolvimento e tem por finalidade promover o desenvolvimento sustentável da Região Nordeste do Brasil, por meio do apoio financeiro aos agentes produtivos regionais.",Cid Sampaio,,,,,,,,,,,,,,
Barão de Souza Leão,Personagem,,,,"Inácio Joaquim de Sousa Leão, foi primeiro-vice-presidente da província de Pernambuco, nomeado por carta imperial de 20 de março de 1886, exercendo o cargo interinamente quatro vezes: de 30 de março a 10 de novembro de 1886, de 27 de outubro a 7 de novembro de 1887, de 4 de fevereiro a 16 de abril de 1888, e de 23 de abril a 20 de junho de 1889.",Avenida Barão de Souza Leão,Joaquim Nabuco,,,,,,,,,,,,,
