origin_id,origin_name,target_id,target_name,relationship_type,relationship_source,curation_status,notes
LC-0025,Avenida 17 de Agosto,PE-AUS-0017,Ariano Suassuna,person,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,LC-0241,Museu do Homem do Nordeste,local,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,LC-0135,Fortaleza do Buraco,local,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,LC-0136,Forte das Cinco Pontas,local,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,LC-0137,Forte do Brum,local,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,LC-0438,Forte do Picão,local,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,LC-0449,Forte de São Francisco,local,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,FH-0049,Batalha do Monte das Tabocas,historical_event,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,FH-0153,Guerra dos Mascates,historical_event,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,FH-0184,Intentona Comunista,historical_event,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,FH-0185,Invasão Holandesa,historical_event,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,FH-0381,Batalha dos Guararapes,historical_event,wide_interconnection_columns,imported,
LC-0025,Avenida 17 de Agosto,LC-0026,Avenida Agamenon Magalhães,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,PE-AUS-0021,Augusto Lucena,person,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,PE-AUS-0001,Abdias de Carvalho,person,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0025,Avenida 17 de Agosto,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0026,Avenida Agamenon Magalhães,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0027,Avenida Barão de Souza Leão,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0028,Avenida Barbosa Lima,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0377,Avenida Nossa Senhora do Carmo,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0350,Via Mangue,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0319,Rua do Sol,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0318,Rua do Imperador,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0316,Rua do Apolo,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0315,Rua da Praia,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0396,Rua da Harmonia,local,wide_interconnection_columns,imported,
LC-0378,Avenida Abdias de Carvalho,LC-0314,Rua da Guia,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0165,Igreja da Capunga,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0089,Colégio Americano Batista,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0161,Hospital da Restauração,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0266,Polo Médico,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0164,Hospital Português,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,PE-AUS-0004,Agamenon Magalhães,person,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0291,Praça do Entroncamento,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,PE-AUS-0021,Augusto Lucena,person,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0025,Avenida 17 de Agosto,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0027,Avenida Barão de Souza Leão,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0028,Avenida Barbosa Lima,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0030,Avenida Caxangá,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0035,Avenida Mário Melo,local,wide_interconnection_columns,imported,
LC-0026,Avenida Agamenon Magalhães,LC-0039,Avenida Visconde de Suassuna,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,PE-AUS-0005,Alfredo Lisboa,person,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0177,Igreja do Pilar,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0282,Porto do Recife,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0123,Estação do Brum,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0344,Torre Malakoff,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0025,Avenida 17 de Agosto,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0026,Avenida Agamenon Magalhães,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0027,Avenida Barão de Souza Leão,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0028,Avenida Barbosa Lima,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0022,Arsenal da Marinha,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0036,Avenida Marquês de Olinda,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0037,Avenida Rio Branco,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0060,Cais da Alfândega,local,wide_interconnection_columns,imported,
LC-0313,Avenida Alfredo Lisboa,LC-0061,Cais da Lingueta,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,PE-AUS-0025,Barão de Souza Leão,person,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0025,Avenida 17 de Agosto,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0026,Avenida Agamenon Magalhães,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0028,Avenida Barbosa Lima,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0030,Avenida Caxangá,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0002,1 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0003,2 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0004,3 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0009,Aeroclube de Pernambuco,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0010,Aeroporto Internacional do Recife,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0032,Avenida Domingos Ferreira,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0034,Avenida Marechal Mascarenhas de Morais,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0350,Via Mangue,local,wide_interconnection_columns,imported,
LC-0027,Avenida Barão de Souza Leão,LC-0323,Rua Padre Carapuceiro,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,PE-AUS-0027,Barbosa Lima,person,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0317,Rua do Bom Jesus,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0314,Rua da Guia,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0316,Rua do Apolo,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0025,Avenida 17 de Agosto,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0026,Avenida Agamenon Magalhães,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0027,Avenida Barão de Souza Leão,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0029,Avenida Boa Viagem,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0030,Avenida Caxangá,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0022,Arsenal da Marinha,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0036,Avenida Marquês de Olinda,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0037,Avenida Rio Branco,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0060,Cais da Alfândega,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0061,Cais da Lingueta,local,wide_interconnection_columns,imported,
LC-0028,Avenida Barbosa Lima,LC-0427,Rua Madre de Deus,local,wide_interconnection_columns,imported,
LC-0029,Avenida Boa Viagem,LC-0002,1 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
LC-0029,Avenida Boa Viagem,LC-0003,2 Jardim de Boa Viagem,local,wide_interconnection_columns,imported,
